ID,Item Name,Category,Severity,Description,Keywords for Detection,Quantity Scaling,Value Range,Origin Connections,Associated Ship Types,Typical Disguise,Inspection Method,Imperial Response,Smuggling Prevalence,Available From Day,Related Scenarios,Insurgent Value
CNT001,Modified Blasters,Weapons,High,Illegally modified energy weapons with amplified output,"blaster, weapon, modified, enhanced, firearm",Number of crates,100-500/unit,"Outer Rim, Lawless Sectors","Light Freighter, Cargo Freighter","Agricultural tools, Mining equipment","Detailed scan, Physical inspection","Immediate detention, Full search",High,1,Smuggled Weapons,Critical
CNT002,Jazz,Narcotics,Very High,Addictive narcotic substance mined from specific planets,"Jazz,   narcotic, stimulant, drug, recreational",Volume in containers,200-1000/unit,"Outer Rim, Pleasure Worlds","Light Freighter, Luxury Yacht","Medicinal herbs, Cooking spices","Chemical analysis, Canine detection","Detention, Criminal charges",Very High,1,Drug Smuggling,Low
CNT003,Military Encryption Devices,Technology,Critical,Devices capable of decrypting imperial   communications,"encryption, decoder, cypher, military tech",Individual units,500-2000/unit,"Research   Facilities, Imperium Defectors","Imperial Shuttle, Light Freighter","Standard communication devices, Research   equipment",Electronic signature scan,"Immediate arrest, Intelligence alert",Low,3,Intelligence Leak,Critical
CNT004,Insurgent Propaganda,Information,Medium,Materials promoting anti-imperial sentiment,"propaganda, leaflets, insurgent, rebel, freedom",Number of crates,50-200/crate,"Insurgent Base, Hidden   Outpost",Any,"Educational materials, Cultural artifacts","Content scan, Visual inspection","Confiscation,   Monitoring of ship",Medium,1,Information War,Medium
CNT005,Restricted Artifacts,Cultural,Medium,Objects of cultural or historical significance under   restriction,"artifact, historical, cultural, restricted, ancient",Individual items,300-1500/item,"Archaeological sites, Wealthy collectors","Luxury Yacht, Light Freighter","Art pieces, Replicas, Souvenirs","Authentication scan, Expert verification","Confiscation, Documentation",Medium,2,Black Market Antiquities,Low
CNT006,Forged Identification,Documents,High,Counterfeit imperial identification and access documents,"forged, counterfeit, false, identification, documents",Number of sets,150-600/set,"Underworld   connections, Criminal networks",Any,"Diplomatic papers, Business credentials","Authentication verification,   Digital scan","Detention, Background check",High,2,Identity Smuggling,High
CNT007,Restricted Medicine,Medical,Low,Medications and treatments not approved for general use,"medicine, restricted, unapproved, experimental, treatment",Number of containers,100-400/container,"Research Facilities, Corporate Sectors","Imperial Shuttle, Cargo Freighter","Standard medical supplies,   Research samples","Medical scan, Content analysis","Confiscation, Documentation",Low,3,Medical Emergency,Medium
CNT008,Stolen Data Cores,Information,High,Storage devices containing stolen imperial information,"data core, stolen, classified, intelligence, drive",Individual units,400-1200/unit,"Imperium facilities,   Corporate Sectors","Imperial Shuttle, Stealth Corvette","Standard data storage, Research archives","Data   signature scan, Content verification","Immediate arrest, Security alert",Medium,5,Data Theft,Very High
CNT009,Military-Grade Explosives,Weapons,Critical,High-yield explosive materials and detonators,"explosive, detonator, bomb, charge, military-grade",Weight in kilograms,300-900/kg,"Military bases, Mining    facilities","Cargo Freighter, Light Freighter","Mining materials, Industrial chemicals","Chemical detection,   Physical inspection","Immediate detention, Security lockdown",Medium,4,Sabotage Plot,High
CNT010,Sliced Tech Components,Technology,Medium,Modified technology with illegal enhancements,"sliced, modified, illegal tech, enhanced components",Number of units,150-450/unit,"Tech centers, Research   facilities","Cargo Freighter, Light Freighter","Standard tech components, Repair parts","Electronic signature   scan, Component testing","Confiscation, Documentation",High,2,Tech Smuggling,Medium
CNT011,Unregistered Droids,Technology,Low,Droids without proper imperial registration and control,"unregistered, droid, autonomous, unlicensed, AI",Individual units,200-800/unit,"Droid manufacturing, Tech   centers","Cargo Freighter, Light Freighter","Mechanical equipment, Appliances","Electronic signature scan,   Activation test","Confiscation, Registration",Medium,3,Droid Network,Low
CNT012,Insurgent Uniforms,Military,High,Clothing and equipment for insurgent operations,"uniform,   insurgent, disguise, military gear, outfit",Number of crates,100-300/crate,"Textile facilities, Insurgent   connections","Cargo Freighter, Light Freighter","Civilian clothing, Work uniforms","Physical inspection,   Material scan","Detention, Full investigation",Low,6,Infiltration Operation,High
CNT013,Illegal Currency,Financial,Medium,Non-imperial currency or credit systems,"currency, illegal   tender, credits, non-imperial, money",Value amount,Direct value,"Banking centers, Outer Rim","Luxury   Yacht, Light Freighter","Business documents, Data storage","Financial scan, Authentication check","Confiscation, Documentation",Medium,4,Financial Crime,Medium
CNT014,Surveillance Equipment,Technology,High,Advanced monitoring and surveillance technology,"surveillance, spy, monitor, tracker, scanner",Individual units,250-700/unit,"Tech centers, Intelligence   agencies","Imperial Shuttle, Light Freighter","Standard communication equipment, Research tools","Electronic   signature scan, Component analysis","Confiscation, Investigation",Low,5,Espionage Network,High
CNT015,Restricted Food,Biological,Low,Food items restricted due to contamination or origin concerns,"food, restricted, contaminated, unapproved, exotic",Weight in kilograms,50-200/kg,"Agricultural worlds,   Outer Rim","Cargo Freighter, Light Freighter","Standard provisions, Cultural imports","Biological scan, Sample    testing","Confiscation, Documentation",Low,2,Health Violation,Very Low