ID,Family Member,Relationship,Age,Health Status,Loyalty Level,Monthly Credits Required,Housing   Type,Needs,Special Traits,Dialogue Options,Happiness Impact,Loyalty Impact,Event Probability,Available Actions,Media Asset
FAM001,Elara Lucas,Spouse,38,Healthy,High,30,Standard Family Quarters,"Medical care,   Entertainment, Communication privileges","Former Imperial Academy instructor, Scientific, Politically savvy","""The   neighbors were questioned again today."", ""I heard there was another security breach."", ""Your supervisor sent a    commendation.""",High,High,0.2,"Extra rations, Medical priority, Recreation access",family_spouse_f1
FAM002,Tarkin Lucas,Child,18,Asthma,Medium,10,Standard Family Quarters,"Training, Medical   care, Entertainment","Gifted trooper, over-confident, too eager for battle","""They're teaching us about loyalty at training."", ""I made a model of a Stellar Destroyer!"", ""When can you take leave to visit?""",Very High,Medium,0.3,"Academy application, Medical treatment, Training",family_child_m1
FAM003,Lyra Lucas,Child,16,Healthy,Low,10,Standard Family Quarters,"Training, Personal   freedom, Privacy","Questioning authority, Interest in engineering, talented mechanic","""Some of my friends have... different opinions."", ""Do you    ever think about what we're doing here?"", ""I got in trouble for asking questions again.""",Medium,Low,0.4,"Surveillance reduction, Career guidance, Social privileges, Training",family_child_f1
FAM004,Orson Lucas,Father,72,Chronic illness,Very High,5,Senior Care Facility,"Medical care,   Comfort, Family visits","Retired trader, Traditional values","""You must always put duty first,   child."", ""The Imperium rewards loyalty above all."", ""I'm proud of your service record.""",Medium,Very High,0.2,"Medical priority, Comfortable housing, Family visit permits",family_parent_m1
FAM005,Jyn Lucas,Mother,68,Healthy,High,5,Senior Care Facility,"Social activities,   Communication, Comfort","Ex-criminal, Supportive personality","""I tell everyone how important your   work is."", ""Your father and I are so proud."", ""Remember to take care of yourself too.""",High,High,0.2,"Recreation access, Communication privileges, Housing upgrade",family_parent_f1
FAM006,Galen Lucas,Brother,42,Injury recovery,Medium,0,Bachelor Officer Quarters,"Medical care,    Career assistance, Financial support","Former striketrooper, Injured in service","""The rehabilitation is going   slowly."", ""I could use help with the medical expenses."", ""They're watching my communications.""",Medium,Medium,0.3,"Medical intervention, Career recommendation, Financial support",family_sibling_m1
FAM007,Bodhi Rook,Family Friend,35,Healthy,Low,0,Outer Ring Housing,"Employment, Reference letters,   Surveillance reduction","Skilled pilot, Associated with suspected sympathizers","""I'm just trying to make an   honest living."", ""These security checks are getting excessive."", ""Can you help clear my record?""",Low,Low,0.5,"Employment reference, Surveillance reduction, Housing improvement",family_extended_m1
FAM008,Baze Malbus,Family Friend,65,Disabled,Medium,0,Outer Ring Housing,"Medical care, Training   assistance, Comfort","Former security, Opinionated, Independent","""The Imperium isn't what it used to be."",   ""These new policies are too harsh."", ""At least they take care of veterans.""",Medium,Medium,0.3,"Medical   equipment, Disability benefits, Housing accommodation",family_extended_m2
FAM009,Chirrut imwe,Family Friend,60,Blind,High,0,Spiritual Community,"Medical care, Community    access, Protection from harassment","Spiritual advisor, Community respected","""Balance will find us all   eventually."", ""Your family speaks highly of your service."", ""Faith in the system is important.""",High,Medium,0.2,"Religious exemptions, Community involvement, Protection",family_friend_m1
FAM010,R2,Family Droid,11,Falling Apart,Very High,10,Standard Family Quarters,"Power, repairs","Clumsy, loyal, helps out the family","""beep, boop, weeee bop ding""",Medium,High,0.2,"Repairs,",family_associate_m1